"","TipLabels_Data","Date"
"A/Massachusetts/06/2012--EPI_ISL_121525--A_/_H3N2--04/20/2012","A/Massachusetts/06/2012--EPI_ISL_121525--A_/_H3N2--04/20/2012","04/20/2012"
"A/BRISBANE/39/2012--EPI_ISL_122601--A_/_H3N2--04/24/2012","A/BRISBANE/39/2012--EPI_ISL_122601--A_/_H3N2--04/24/2012","04/24/2012"
"A/NEWCASTLE/8/2012--EPI_ISL_134459--A_/_H3N2--06/25/2012","A/NEWCASTLE/8/2012--EPI_ISL_134459--A_/_H3N2--06/25/2012","06/25/2012"
"A/Victoria/150/2012--EPI_ISL_192789--A_/_H3N2--07/27/2012","A/Victoria/150/2012--EPI_ISL_192789--A_/_H3N2--07/27/2012","07/27/2012"
"A/Paraguay/216/2011--EPI_ISL_101916--A_/_H3N2--10/11/2011","A/Paraguay/216/2011--EPI_ISL_101916--A_/_H3N2--10/11/2011","10/11/2011"
"A/Santa_Maria/LACENRS-231/2011--EPI_ISL_263256--A_/_H3N2--06/14/2011","A/Santa_Maria/LACENRS-231/2011--EPI_ISL_263256--A_/_H3N2--06/14/2011","06/14/2011"
"A/Colorado/06/2011--EPI_ISL_90812--A_/_H3N2--03/25/2011","A/Colorado/06/2011--EPI_ISL_90812--A_/_H3N2--03/25/2011","03/25/2011"
"A/West_Virginia/05/2011--EPI_ISL_90864--A_/_H3N2--03/29/2011","A/West_Virginia/05/2011--EPI_ISL_90864--A_/_H3N2--03/29/2011","03/29/2011"
"A/Brazil/6078/2011--EPI_ISL_96085--A_/_H3N2--07/03/2011","A/Brazil/6078/2011--EPI_ISL_96085--A_/_H3N2--07/03/2011","07/03/2011"
"A/Boston/DOA47/2011--EPI_ISL_135258--A_/_H3N2--02/14/2011","A/Boston/DOA47/2011--EPI_ISL_135258--A_/_H3N2--02/14/2011","02/14/2011"
"A/Brazil/1151/2011--EPI_ISL_93773--A_/_H3N2--05/06/2011","A/Brazil/1151/2011--EPI_ISL_93773--A_/_H3N2--05/06/2011","05/06/2011"
"A/Brazil/1151/2011--EPI_ISL_99067--A_/_H3N2--05/06/2011","A/Brazil/1151/2011--EPI_ISL_99067--A_/_H3N2--05/06/2011","05/06/2011"
"A/Brazil/1151/2011--EPI_ISL_99066--A_/_H3N2--05/06/2011","A/Brazil/1151/2011--EPI_ISL_99066--A_/_H3N2--05/06/2011","05/06/2011"
"A/Brazil/1151/2011--EPI_ISL_99068--A_/_H3N2--05/06/2011","A/Brazil/1151/2011--EPI_ISL_99068--A_/_H3N2--05/06/2011","05/06/2011"
"A/Brazil/5613/2011--EPI_ISL_96084--A_/_H3N2--07/07/2011","A/Brazil/5613/2011--EPI_ISL_96084--A_/_H3N2--07/07/2011","07/07/2011"
"A/Slovenia/2855/2011--EPI_ISL_103261--A_/_H3N2--12/05/2011","A/Slovenia/2855/2011--EPI_ISL_103261--A_/_H3N2--12/05/2011","12/05/2011"
"A/Slovenia/9/2012--EPI_ISL_103263--A_/_H3N2--01/03/2012","A/Slovenia/9/2012--EPI_ISL_103263--A_/_H3N2--01/03/2012","01/03/2012"
"A/Slovenia/2970/2011--EPI_ISL_103262--A_/_H3N2--12/12/2011","A/Slovenia/2970/2011--EPI_ISL_103262--A_/_H3N2--12/12/2011","12/12/2011"
"A/HIROSHIMA-C/53/2011--EPI_ISL_100521--A_/_H3N2--10/29/2011","A/HIROSHIMA-C/53/2011--EPI_ISL_100521--A_/_H3N2--10/29/2011","10/29/2011"
"A/SAITAMA/320/2011--EPI_ISL_101954--A_/_H3N2--11/11/2011","A/SAITAMA/320/2011--EPI_ISL_101954--A_/_H3N2--11/11/2011","11/11/2011"
"A/OITA/92/2011--EPI_ISL_100520--A_/_H3N2--10/05/2011","A/OITA/92/2011--EPI_ISL_100520--A_/_H3N2--10/05/2011","10/05/2011"
"A/SAGA/193/2011--EPI_ISL_101482--A_/_H3N2--10/14/2011","A/SAGA/193/2011--EPI_ISL_101482--A_/_H3N2--10/14/2011","10/14/2011"
"A/HIROSHIMA/115/2011--EPI_ISL_100522--A_/_H3N2--10/26/2011","A/HIROSHIMA/115/2011--EPI_ISL_100522--A_/_H3N2--10/26/2011","10/26/2011"
"A/FUKUOKA-C/69/2011--EPI_ISL_111431--A_/_H3N2--12/27/2011","A/FUKUOKA-C/69/2011--EPI_ISL_111431--A_/_H3N2--12/27/2011","12/27/2011"
"A/OKINAWA/4/2012--EPI_ISL_121204--A_/_H3N2--01/23/2012","A/OKINAWA/4/2012--EPI_ISL_121204--A_/_H3N2--01/23/2012","01/23/2012"
"A/FUKUSHIMA/37/2012--EPI_ISL_119906--A_/_H3N2--01/26/2012","A/FUKUSHIMA/37/2012--EPI_ISL_119906--A_/_H3N2--01/26/2012","01/26/2012"
"A/Japan/22/2011--EPI_ISL_235316--A_/_H3N2--12/20/2011","A/Japan/22/2011--EPI_ISL_235316--A_/_H3N2--12/20/2011","12/20/2011"
"A/Texas/20/2012--EPI_ISL_107039--A_/_H3N2--02/06/2012","A/Texas/20/2012--EPI_ISL_107039--A_/_H3N2--02/06/2012","02/06/2012"
"A/New_Mexico/02/2012--EPI_ISL_109750--A_/_H3N2--01/24/2012","A/New_Mexico/02/2012--EPI_ISL_109750--A_/_H3N2--01/24/2012","01/24/2012"
"A/North_Carolina/24usafsam/2012--EPI_ISL_235318--A_/_H3N2--02/16/2012","A/North_Carolina/24usafsam/2012--EPI_ISL_235318--A_/_H3N2--02/16/2012","02/16/2012"
"A/Guatemala/51/2011--EPI_ISL_93780--A_/_H3N2--03/02/2011","A/Guatemala/51/2011--EPI_ISL_93780--A_/_H3N2--03/02/2011","03/02/2011"
"A/Oregon/06/2011--EPI_ISL_99115--A_/_H3N2--10/04/2011","A/Oregon/06/2011--EPI_ISL_99115--A_/_H3N2--10/04/2011","10/04/2011"
"A/Brazil/8751/2012--EPI_ISL_125902--A_/_H3N2--06/05/2012","A/Brazil/8751/2012--EPI_ISL_125902--A_/_H3N2--06/05/2012","06/05/2012"
"A/Belem/119244/2012--EPI_ISL_129163--A_/_H3N2--06/07/2012","A/Belem/119244/2012--EPI_ISL_129163--A_/_H3N2--06/07/2012","06/07/2012"
"A/Boston/YGA_00015/2012--EPI_ISL_160265--A_/_H3N2--12/28/2012","A/Boston/YGA_00015/2012--EPI_ISL_160265--A_/_H3N2--12/28/2012","12/28/2012"
"A/Nevada/26/2012--EPI_ISL_131813--A_/_H3N2--10/31/2012","A/Nevada/26/2012--EPI_ISL_131813--A_/_H3N2--10/31/2012","10/31/2012"
"A/South_Carolina/16/2012--EPI_ISL_131826--A_/_H3N2--11/07/2012","A/South_Carolina/16/2012--EPI_ISL_131826--A_/_H3N2--11/07/2012","11/07/2012"
"A/Georgia/22/2012--EPI_ISL_134001--A_/_H3N2--12/02/2012","A/Georgia/22/2012--EPI_ISL_134001--A_/_H3N2--12/02/2012","12/02/2012"
"A/Connecticut/Flu006/2012--EPI_ISL_166611--A_/_H3N2--12/29/2012","A/Connecticut/Flu006/2012--EPI_ISL_166611--A_/_H3N2--12/29/2012","12/29/2012"
"A/Connecticut/Flu042/2012--EPI_ISL_202118--A_/_H3N2--12/28/2012","A/Connecticut/Flu042/2012--EPI_ISL_202118--A_/_H3N2--12/28/2012","12/28/2012"
"A/Florida/01/2013--EPI_ISL_134771--A_/_H3N2--01/03/2013","A/Florida/01/2013--EPI_ISL_134771--A_/_H3N2--01/03/2013","01/03/2013"
"A/South_Carolina/NHRC382368/2012--EPI_ISL_153797--A_/_H3N2--12/03/2012","A/South_Carolina/NHRC382368/2012--EPI_ISL_153797--A_/_H3N2--12/03/2012","12/03/2012"
"A/Boston/DOA2-138/2012--EPI_ISL_147986--A_/_H3N2--12/20/2012","A/Boston/DOA2-138/2012--EPI_ISL_147986--A_/_H3N2--12/20/2012","12/20/2012"
"A/Chicago/YGA_04110/2012--EPI_ISL_160715--A_/_H3N2--12/28/2012","A/Chicago/YGA_04110/2012--EPI_ISL_160715--A_/_H3N2--12/28/2012","12/28/2012"
"A/Boston/DOA2-141/2012--EPI_ISL_147946--A_/_H3N2--12/21/2012","A/Boston/DOA2-141/2012--EPI_ISL_147946--A_/_H3N2--12/21/2012","12/21/2012"
"A/Boston/YGA_01111/2013--EPI_ISL_160401--A_/_H3N2--01/01/2013","A/Boston/YGA_01111/2013--EPI_ISL_160401--A_/_H3N2--01/01/2013","01/01/2013"
"A/Boston/YGA_01148/2013--EPI_ISL_160460--A_/_H3N2--01/05/2013","A/Boston/YGA_01148/2013--EPI_ISL_160460--A_/_H3N2--01/05/2013","01/05/2013"
"A/Santa_Clara/YGA_03075/2013--EPI_ISL_160659--A_/_H3N2--02/04/2013","A/Santa_Clara/YGA_03075/2013--EPI_ISL_160659--A_/_H3N2--02/04/2013","02/04/2013"
"A/Boston/YGA_02005/2012--EPI_ISL_160551--A_/_H3N2--12/17/2012","A/Boston/YGA_02005/2012--EPI_ISL_160551--A_/_H3N2--12/17/2012","12/17/2012"
"A/Chicago/YGA_04165/2013--EPI_ISL_160744--A_/_H3N2--01/09/2013","A/Chicago/YGA_04165/2013--EPI_ISL_160744--A_/_H3N2--01/09/2013","01/09/2013"
"A/Boston/YGA_02002/2012--EPI_ISL_160548--A_/_H3N2--12/12/2012","A/Boston/YGA_02002/2012--EPI_ISL_160548--A_/_H3N2--12/12/2012","12/12/2012"
"A/Maryland/113_5D/2013--EPI_ISL_368544--A_/_H3N2--01/30/2013","A/Maryland/113_5D/2013--EPI_ISL_368544--A_/_H3N2--01/30/2013","01/30/2013"
"A/Boston/YGA_02015/2012--EPI_ISL_160559--A_/_H3N2--12/31/2012","A/Boston/YGA_02015/2012--EPI_ISL_160559--A_/_H3N2--12/31/2012","12/31/2012"
"A/Boston/YGA_00038/2013--EPI_ISL_160282--A_/_H3N2--01/11/2013","A/Boston/YGA_00038/2013--EPI_ISL_160282--A_/_H3N2--01/11/2013","01/11/2013"
"A/Michigan/09/2012--EPI_ISL_196077--A_/_H3N2--12/28/2012","A/Michigan/09/2012--EPI_ISL_196077--A_/_H3N2--12/28/2012","12/28/2012"
"A/Houston/JMM_180/2013--EPI_ISL_189642--A_/_H3N2--02/08/2013","A/Houston/JMM_180/2013--EPI_ISL_189642--A_/_H3N2--02/08/2013","02/08/2013"
"A/Santa_Clara/YGA_03076/2013--EPI_ISL_160660--A_/_H3N2--02/03/2013","A/Santa_Clara/YGA_03076/2013--EPI_ISL_160660--A_/_H3N2--02/03/2013","02/03/2013"
"A/Alaska/02/2013--EPI_ISL_140276--A_/_H3N2--02/20/2013","A/Alaska/02/2013--EPI_ISL_140276--A_/_H3N2--02/20/2013","02/20/2013"
"A/Alaska/02/2013--EPI_ISL_139924--A_/_H3N2--02/20/2013","A/Alaska/02/2013--EPI_ISL_139924--A_/_H3N2--02/20/2013","02/20/2013"
"A/California/55/2012--EPI_ISL_138713--A_/_H3N2--12/31/2012","A/California/55/2012--EPI_ISL_138713--A_/_H3N2--12/31/2012","12/31/2012"
"A/Boston/YGA_01045/2012--EPI_ISL_160337--A_/_H3N2--12/25/2012","A/Boston/YGA_01045/2012--EPI_ISL_160337--A_/_H3N2--12/25/2012","12/25/2012"
"A/Boston/YGA_00004/2012--EPI_ISL_160256--A_/_H3N2--12/05/2012","A/Boston/YGA_00004/2012--EPI_ISL_160256--A_/_H3N2--12/05/2012","12/05/2012"
"A/Boston/YGA_01098/2012--EPI_ISL_160388--A_/_H3N2--12/30/2012","A/Boston/YGA_01098/2012--EPI_ISL_160388--A_/_H3N2--12/30/2012","12/30/2012"
"A/Boston/YGA_00020/2012--EPI_ISL_160270--A_/_H3N2--12/28/2012","A/Boston/YGA_00020/2012--EPI_ISL_160270--A_/_H3N2--12/28/2012","12/28/2012"
"A/Houston/JMM_98/2012--EPI_ISL_189225--A_/_H3N2--12/29/2012","A/Houston/JMM_98/2012--EPI_ISL_189225--A_/_H3N2--12/29/2012","12/29/2012"
"A/Boston/YGA_01125/2013--EPI_ISL_160412--A_/_H3N2--01/02/2013","A/Boston/YGA_01125/2013--EPI_ISL_160412--A_/_H3N2--01/02/2013","01/02/2013"
"A/Maryland/113_1/2013--EPI_ISL_368543--A_/_H3N2--01/30/2013","A/Maryland/113_1/2013--EPI_ISL_368543--A_/_H3N2--01/30/2013","01/30/2013"
"A/Maryland/113_8/2013--EPI_ISL_368545--A_/_H3N2--01/31/2013","A/Maryland/113_8/2013--EPI_ISL_368545--A_/_H3N2--01/31/2013","01/31/2013"
"A/Boston/YGA_02014/2012--EPI_ISL_160558--A_/_H3N2--12/31/2012","A/Boston/YGA_02014/2012--EPI_ISL_160558--A_/_H3N2--12/31/2012","12/31/2012"
"A/Texas/JMM_1/2012--EPI_ISL_136432--A_/_H3N2--11/03/2012","A/Texas/JMM_1/2012--EPI_ISL_136432--A_/_H3N2--11/03/2012","11/03/2012"
"A/Texas/JMM_8/2012--EPI_ISL_136444--A_/_H3N2--11/20/2012","A/Texas/JMM_8/2012--EPI_ISL_136444--A_/_H3N2--11/20/2012","11/20/2012"
"A/Paris/1912/2012--EPI_ISL_134344--A_/_H3N2--12/07/2012","A/Paris/1912/2012--EPI_ISL_134344--A_/_H3N2--12/07/2012","12/07/2012"
"A/Colorado/20/2012--EPI_ISL_132680--A_/_H3N2--11/14/2012","A/Colorado/20/2012--EPI_ISL_132680--A_/_H3N2--11/14/2012","11/14/2012"
"A/Texas/JMM_43/2012--EPI_ISL_136496--A_/_H3N2--12/02/2012","A/Texas/JMM_43/2012--EPI_ISL_136496--A_/_H3N2--12/02/2012","12/02/2012"
"A/Texas/JMM_59/2012--EPI_ISL_136511--A_/_H3N2--12/08/2012","A/Texas/JMM_59/2012--EPI_ISL_136511--A_/_H3N2--12/08/2012","12/08/2012"
"A/Houston/JMM_134/2013--EPI_ISL_189288--A_/_H3N2--01/11/2013","A/Houston/JMM_134/2013--EPI_ISL_189288--A_/_H3N2--01/11/2013","01/11/2013"
"A/Houston/JMM_166/2013--EPI_ISL_189629--A_/_H3N2--01/20/2013","A/Houston/JMM_166/2013--EPI_ISL_189629--A_/_H3N2--01/20/2013","01/20/2013"
"A/Houston/JMM_137/2013--EPI_ISL_189291--A_/_H3N2--01/11/2013","A/Houston/JMM_137/2013--EPI_ISL_189291--A_/_H3N2--01/11/2013","01/11/2013"
"A/Houston/JMM_66/2012--EPI_ISL_189159--A_/_H3N2--12/12/2012","A/Houston/JMM_66/2012--EPI_ISL_189159--A_/_H3N2--12/12/2012","12/12/2012"
"A/Texas/JMM_30/2012--EPI_ISL_136484--A_/_H3N2--11/28/2012","A/Texas/JMM_30/2012--EPI_ISL_136484--A_/_H3N2--11/28/2012","11/28/2012"
"A/Louisiana/08/2012--EPI_ISL_129549--A_/_H3N2--08/21/2012","A/Louisiana/08/2012--EPI_ISL_129549--A_/_H3N2--08/21/2012","08/21/2012"
"A/Georgia/3058/2012--EPI_ISL_132806--A_/_H3N2--09/26/2012","A/Georgia/3058/2012--EPI_ISL_132806--A_/_H3N2--09/26/2012","09/26/2012"
"A/Texas/JMM_39/2012--EPI_ISL_136493--A_/_H3N2--11/30/2012","A/Texas/JMM_39/2012--EPI_ISL_136493--A_/_H3N2--11/30/2012","11/30/2012"
"A/Virginia/14/2012--EPI_ISL_133065--A_/_H3N2--11/13/2012","A/Virginia/14/2012--EPI_ISL_133065--A_/_H3N2--11/13/2012","11/13/2012"
"A/Maryland/43/2012--EPI_ISL_133069--A_/_H3N2--11/13/2012","A/Maryland/43/2012--EPI_ISL_133069--A_/_H3N2--11/13/2012","11/13/2012"
"A/Alabama/35/2012--EPI_ISL_134779--A_/_H3N2--12/18/2012","A/Alabama/35/2012--EPI_ISL_134779--A_/_H3N2--12/18/2012","12/18/2012"
"A/Boston/DOA2-145/2013--EPI_ISL_147991--A_/_H3N2--01/20/2013","A/Boston/DOA2-145/2013--EPI_ISL_147991--A_/_H3N2--01/20/2013","01/20/2013"
"A/Tennessee/21/2012--EPI_ISL_143539--A_/_H3N2--12/17/2012","A/Tennessee/21/2012--EPI_ISL_143539--A_/_H3N2--12/17/2012","12/17/2012"
"A/Florida/27/2012--EPI_ISL_125909--A_/_H3N2--07/16/2012","A/Florida/27/2012--EPI_ISL_125909--A_/_H3N2--07/16/2012","07/16/2012"
"A/Israel/10/2012--EPI_ISL_140344--A_/_H3N2--10/30/2012","A/Israel/10/2012--EPI_ISL_140344--A_/_H3N2--10/30/2012","10/30/2012"
"A/New_York/40/2012--EPI_ISL_131824--A_/_H3N2--10/16/2012","A/New_York/40/2012--EPI_ISL_131824--A_/_H3N2--10/16/2012","10/16/2012"
"A/Vermont/16/2012--EPI_ISL_131276--A_/_H3N2--10/15/2012","A/Vermont/16/2012--EPI_ISL_131276--A_/_H3N2--10/15/2012","10/15/2012"
"A/Mississippi/06/2012--EPI_ISL_121992--A_/_H3N2--05/14/2012","A/Mississippi/06/2012--EPI_ISL_121992--A_/_H3N2--05/14/2012","05/14/2012"
"A/Frederico_Westphalen/LACENRS-204/2012--EPI_ISL_263304--A_/_H3N2--06/13/2012","A/Frederico_Westphalen/LACENRS-204/2012--EPI_ISL_263304--A_/_H3N2--06/13/2012","06/13/2012"
"A/Florida/39/2012--EPI_ISL_129766--A_/_H3N2--10/04/2012","A/Florida/39/2012--EPI_ISL_129766--A_/_H3N2--10/04/2012","10/04/2012"
"A/Stockholm/31/2012--EPI_ISL_129727--A_/_H3N2--10/17/2012","A/Stockholm/31/2012--EPI_ISL_129727--A_/_H3N2--10/17/2012","10/17/2012"
"A/Ostersund/4/2012--EPI_ISL_130173--A_/_H3N2--10/23/2012","A/Ostersund/4/2012--EPI_ISL_130173--A_/_H3N2--10/23/2012","10/23/2012"
"A/Stockholm/40/2012--EPI_ISL_140349--A_/_H3N2--11/14/2012","A/Stockholm/40/2012--EPI_ISL_140349--A_/_H3N2--11/14/2012","11/14/2012"
"A/Stockholm/38/2012--EPI_ISL_131851--A_/_H3N2--11/05/2012","A/Stockholm/38/2012--EPI_ISL_131851--A_/_H3N2--11/05/2012","11/05/2012"
"A/Stockholm/40/2012--EPI_ISL_136400--A_/_H3N2--11/14/2012","A/Stockholm/40/2012--EPI_ISL_136400--A_/_H3N2--11/14/2012","11/14/2012"
"A/Stockholm/40/2012--EPI_ISL_131854--A_/_H3N2--11/14/2012","A/Stockholm/40/2012--EPI_ISL_131854--A_/_H3N2--11/14/2012","11/14/2012"
"A/Ostersund/3/2012--EPI_ISL_130152--A_/_H3N2--10/19/2012","A/Ostersund/3/2012--EPI_ISL_130152--A_/_H3N2--10/19/2012","10/19/2012"
"A/Stockholm/31/2012--EPI_ISL_134182--A_/_H3N2--10/17/2012","A/Stockholm/31/2012--EPI_ISL_134182--A_/_H3N2--10/17/2012","10/17/2012"
"A/Stockholm/38/2012--EPI_ISL_134184--A_/_H3N2--11/05/2012","A/Stockholm/38/2012--EPI_ISL_134184--A_/_H3N2--11/05/2012","11/05/2012"
"A/Stockholm/40/2012--EPI_ISL_134186--A_/_H3N2--11/14/2012","A/Stockholm/40/2012--EPI_ISL_134186--A_/_H3N2--11/14/2012","11/14/2012"
"A/Stockholm/12/2013--EPI_ISL_139630--A_/_H3N2--01/21/2013","A/Stockholm/12/2013--EPI_ISL_139630--A_/_H3N2--01/21/2013","01/21/2013"
"A/Stockholm/37/2012--EPI_ISL_131856--A_/_H3N2--11/15/2012","A/Stockholm/37/2012--EPI_ISL_131856--A_/_H3N2--11/15/2012","11/15/2012"
"A/Stockholm/37/2012--EPI_ISL_134183--A_/_H3N2--11/15/2012","A/Stockholm/37/2012--EPI_ISL_134183--A_/_H3N2--11/15/2012","11/15/2012"
"A/Austria/705367/2012--EPI_ISL_134156--A_/_H3N2--11/06/2012","A/Austria/705367/2012--EPI_ISL_134156--A_/_H3N2--11/06/2012","11/06/2012"
"A/Austria/710638/2012--EPI_ISL_134158--A_/_H3N2--12/11/2012","A/Austria/710638/2012--EPI_ISL_134158--A_/_H3N2--12/11/2012","12/11/2012"
"A/Israel/10/2012--EPI_ISL_136380--A_/_H3N2--10/30/2012","A/Israel/10/2012--EPI_ISL_136380--A_/_H3N2--10/30/2012","10/30/2012"
"A/Kentucky/14/2012--EPI_ISL_129043--A_/_H3N2--08/08/2012","A/Kentucky/14/2012--EPI_ISL_129043--A_/_H3N2--08/08/2012","08/08/2012"
"A/Acores/SU43/2012--EPI_ISL_134327--A_/_H3N2--11/06/2012","A/Acores/SU43/2012--EPI_ISL_134327--A_/_H3N2--11/06/2012","11/06/2012"
"A/Acores/SU43/2012--EPI_ISL_141660--A_/_H3N2--11/06/2012","A/Acores/SU43/2012--EPI_ISL_141660--A_/_H3N2--11/06/2012","11/06/2012"
"A/Georgia/15/2012--EPI_ISL_129680--A_/_H3N2--09/02/2012","A/Georgia/15/2012--EPI_ISL_129680--A_/_H3N2--09/02/2012","09/02/2012"
"A/Georgia/16/2012--EPI_ISL_129659--A_/_H3N2--09/02/2012","A/Georgia/16/2012--EPI_ISL_129659--A_/_H3N2--09/02/2012","09/02/2012"
"A/Brazil/7920/2012--EPI_ISL_125910--A_/_H3N2--04/11/2012","A/Brazil/7920/2012--EPI_ISL_125910--A_/_H3N2--04/11/2012","04/11/2012"
"A/Mississippi/12/2012--EPI_ISL_130198--A_/_H3N2--10/09/2012","A/Mississippi/12/2012--EPI_ISL_130198--A_/_H3N2--10/09/2012","10/09/2012"
"A/Wisconsin/37/2012--EPI_ISL_130203--A_/_H3N2--10/05/2012","A/Wisconsin/37/2012--EPI_ISL_130203--A_/_H3N2--10/05/2012","10/05/2012"
"A/Michigan/08/2012--EPI_ISL_196075--A_/_H3N2--12/18/2012","A/Michigan/08/2012--EPI_ISL_196075--A_/_H3N2--12/18/2012","12/18/2012"
"A/Nebraska/04/2013--EPI_ISL_138005--A_/_H3N2--01/11/2013","A/Nebraska/04/2013--EPI_ISL_138005--A_/_H3N2--01/11/2013","01/11/2013"
"A/Santa_Clara/YGA_03029/2012--EPI_ISL_160249--A_/_H3N2--12/03/2012","A/Santa_Clara/YGA_03029/2012--EPI_ISL_160249--A_/_H3N2--12/03/2012","12/03/2012"
"A/Chicago/YGA_04047/2012--EPI_ISL_160687--A_/_H3N2--12/17/2012","A/Chicago/YGA_04047/2012--EPI_ISL_160687--A_/_H3N2--12/17/2012","12/17/2012"
"A/Norway/1443/2012--EPI_ISL_132040--A_/_H3N2--06/07/2012","A/Norway/1443/2012--EPI_ISL_132040--A_/_H3N2--06/07/2012","06/07/2012"
"A/Israel/20/2013--EPI_ISL_136383--A_/_H3N2--01/08/2013","A/Israel/20/2013--EPI_ISL_136383--A_/_H3N2--01/08/2013","01/08/2013"
"A/Israel/20/2013--EPI_ISL_140345--A_/_H3N2--01/08/2013","A/Israel/20/2013--EPI_ISL_140345--A_/_H3N2--01/08/2013","01/08/2013"
"A/Brisbane/16/2013--EPI_ISL_288245--A_/_H3N2--02/13/2013","A/Brisbane/16/2013--EPI_ISL_288245--A_/_H3N2--02/13/2013","02/13/2013"
"A/BRISBANE/16/2013--EPI_ISL_161268--A_/_H3N2--02/13/2013","A/BRISBANE/16/2013--EPI_ISL_161268--A_/_H3N2--02/13/2013","02/13/2013"
"A/Stockholm/30/2012--EPI_ISL_129613--A_/_H3N2--07/19/2012","A/Stockholm/30/2012--EPI_ISL_129613--A_/_H3N2--07/19/2012","07/19/2012"
"A/Stockholm/30/2012--EPI_ISL_134181--A_/_H3N2--07/12/2012","A/Stockholm/30/2012--EPI_ISL_134181--A_/_H3N2--07/12/2012","07/12/2012"
"A/Mecklenburg_Vorpommern/4/2012--EPI_ISL_132904--A_/_H3N2--10/30/2012","A/Mecklenburg_Vorpommern/4/2012--EPI_ISL_132904--A_/_H3N2--10/30/2012","10/30/2012"
"A/Mecklenburg_Vorpommern/12/2012--EPI_ISL_134171--A_/_H3N2--12/27/2012","A/Mecklenburg_Vorpommern/12/2012--EPI_ISL_134171--A_/_H3N2--12/27/2012","12/27/2012"
"A/Mecklenburg_Vorpommern/10/2012--EPI_ISL_134170--A_/_H3N2--12/17/2012","A/Mecklenburg_Vorpommern/10/2012--EPI_ISL_134170--A_/_H3N2--12/17/2012","12/17/2012"
"A/Mecklenburg_Vorpommern/5/2012--EPI_ISL_132905--A_/_H3N2--11/05/2012","A/Mecklenburg_Vorpommern/5/2012--EPI_ISL_132905--A_/_H3N2--11/05/2012","11/05/2012"
"A/Plzen/22/2013--EPI_ISL_143565--A_/_H3N2--01/10/2013","A/Plzen/22/2013--EPI_ISL_143565--A_/_H3N2--01/10/2013","01/10/2013"
"A/Houston/JMM_167/2013--EPI_ISL_189630--A_/_H3N2--01/14/2013","A/Houston/JMM_167/2013--EPI_ISL_189630--A_/_H3N2--01/14/2013","01/14/2013"
"A/Houston/JMM_139/2013--EPI_ISL_189292--A_/_H3N2--01/12/2013","A/Houston/JMM_139/2013--EPI_ISL_189292--A_/_H3N2--01/12/2013","01/12/2013"
"A/Texas/JMM_35/2012--EPI_ISL_136489--A_/_H3N2--11/29/2012","A/Texas/JMM_35/2012--EPI_ISL_136489--A_/_H3N2--11/29/2012","11/29/2012"
"A/Texas/JMM_3/2012--EPI_ISL_136441--A_/_H3N2--11/11/2012","A/Texas/JMM_3/2012--EPI_ISL_136441--A_/_H3N2--11/11/2012","11/11/2012"
"A/Wisconsin/25/2012--EPI_ISL_128999--A_/_H3N2--08/16/2012","A/Wisconsin/25/2012--EPI_ISL_128999--A_/_H3N2--08/16/2012","08/16/2012"
"A/Stockholm/54/2012--EPI_ISL_138444--A_/_H3N2--12/28/2012","A/Stockholm/54/2012--EPI_ISL_138444--A_/_H3N2--12/28/2012","12/28/2012"
"A/Boston/YGA_00016/2012--EPI_ISL_160266--A_/_H3N2--12/28/2012","A/Boston/YGA_00016/2012--EPI_ISL_160266--A_/_H3N2--12/28/2012","12/28/2012"
"A/Boston/DOA2-155/2012--EPI_ISL_148000--A_/_H3N2--12/29/2012","A/Boston/DOA2-155/2012--EPI_ISL_148000--A_/_H3N2--12/29/2012","12/29/2012"
"A/Mississippi/13/2012--EPI_ISL_131815--A_/_H3N2--11/13/2012","A/Mississippi/13/2012--EPI_ISL_131815--A_/_H3N2--11/13/2012","11/13/2012"
"A/Houston/JMM_117/2013--EPI_ISL_189272--A_/_H3N2--01/05/2013","A/Houston/JMM_117/2013--EPI_ISL_189272--A_/_H3N2--01/05/2013","01/05/2013"
"A/Alaska/25/2012--EPI_ISL_133064--A_/_H3N2--10/11/2012","A/Alaska/25/2012--EPI_ISL_133064--A_/_H3N2--10/11/2012","10/11/2012"
"A/Delaware/23/2012--EPI_ISL_134874--A_/_H3N2--12/19/2012","A/Delaware/23/2012--EPI_ISL_134874--A_/_H3N2--12/19/2012","12/19/2012"
"A/Delaware/23/2012--EPI_ISL_134882--A_/_H3N2--12/19/2012","A/Delaware/23/2012--EPI_ISL_134882--A_/_H3N2--12/19/2012","12/19/2012"
"A/Connecticut/Flu159/2013--EPI_ISL_202136--A_/_H3N2--02/10/2013","A/Connecticut/Flu159/2013--EPI_ISL_202136--A_/_H3N2--02/10/2013","02/10/2013"
"A/Catalonia/5689S/2013--EPI_ISL_140340--A_/_H3N2--01/17/2013","A/Catalonia/5689S/2013--EPI_ISL_140340--A_/_H3N2--01/17/2013","01/17/2013"
"A/Boston/YGA_01157/2013--EPI_ISL_160469--A_/_H3N2--01/06/2013","A/Boston/YGA_01157/2013--EPI_ISL_160469--A_/_H3N2--01/06/2013","01/06/2013"
"A/Boston/YGA_01139/2013--EPI_ISL_160451--A_/_H3N2--01/03/2013","A/Boston/YGA_01139/2013--EPI_ISL_160451--A_/_H3N2--01/03/2013","01/03/2013"
